left_arm_joint1,left_arm_joint2,left_arm_joint3,left_arm_joint4,left_arm_joint5,left_arm_joint6,left_arm_joint7
0.472311,0.632634,-0.264977,-0.893752,0.490406,0.030038,-0.159141
0.472905,0.633047,-0.261887,-0.894576,0.494569,0.02575,-0.162682
0.473135,0.633503,-0.260093,-0.895171,0.496979,0.023576,-0.164616
0.473251,0.634385,-0.257764,-0.896198,0.500174,0.021172,-0.166852
0.473015,0.635252,-0.25613,-0.897103,0.502499,0.019941,-0.168151
0.472353,0.637083,-0.253461,-0.898953,0.506264,0.018676,-0.169791
0.472096,0.63785,-0.252369,-0.89972,0.507769,0.018062,-0.170439
0.471539,0.639554,-0.249468,-0.901482,0.511436,0.015541,-0.172354
0.471397,0.640287,-0.24828,-0.90225,0.51293,0.014266,-0.173143
0.470926,0.6418,-0.245145,-0.903867,0.516548,0.010602,-0.175362
0.47096,0.64241,-0.243824,-0.904521,0.518229,0.008925,-0.176391
0.471944,0.643953,-0.240253,-0.906153,0.523327,0.003851,-0.179465
0.472622,0.644732,-0.238004,-0.907005,0.526509,0.000534,-0.181526
0.473119,0.645687,-0.235085,-0.908191,0.530442,-0.003535,-0.184203
0.472901,0.646343,-0.233032,-0.909089,0.532873,-0.006026,-0.186046
0.472051,0.647289,-0.229588,-0.910698,0.536376,-0.00967,-0.189038
0.471365,0.647372,-0.228199,-0.911149,0.537605,-0.011124,-0.190302
0.470021,0.64716,-0.224481,-0.912347,0.54131,-0.015561,-0.193835
0.469432,0.646827,-0.222887,-0.912808,0.542889,-0.017462,-0.195338
0.467354,0.645354,-0.218884,-0.91356,0.546344,-0.022485,-0.199385
0.466356,0.6446,-0.217244,-0.91383,0.547367,-0.024562,-0.20113
0.462782,0.64197,-0.213403,-0.913866,0.548764,-0.030104,-0.20585
0.460163,0.640034,-0.211105,-0.913655,0.549079,-0.03353,-0.20889
0.456693,0.637615,-0.207994,-0.913447,0.549586,-0.038091,-0.213093
0.454148,0.636004,-0.205592,-0.913377,0.550153,-0.041417,-0.216385
0.449785,0.633432,-0.201512,-0.91328,0.551096,-0.046911,-0.22212
0.448133,0.632543,-0.199901,-0.913343,0.55155,-0.049181,-0.224418
0.443324,0.630078,-0.195866,-0.913175,0.551961,-0.054712,-0.230074
0.44129,0.629151,-0.194271,-0.913093,0.551972,-0.056884,-0.23232
0.436203,0.626762,-0.190228,-0.912921,0.552063,-0.062633,-0.237928
0.434113,0.62559,-0.188526,-0.912787,0.552132,-0.065157,-0.240187
0.428621,0.621974,-0.184042,-0.912229,0.552258,-0.072037,-0.245786
0.425402,0.619622,-0.181252,-0.911918,0.552484,-0.076531,-0.249169
0.42084,0.616171,-0.177375,-0.911302,0.552743,-0.082652,-0.253863
0.417479,0.613539,-0.174363,-0.910883,0.553212,-0.087385,-0.257553
0.411565,0.608684,-0.169043,-0.909955,0.553956,-0.09548,-0.263964
